"","NAME","TEAM_abb","GP","MPG","ORPM","DRPM","WINS","POSITION","RPM","TEAM_full","SALARY","MSP","y","GP_c","MPG_c"
"277","Leandro Barbosa","PHX",67,14.4,-1.5,-1.5,0.08," SG",-3,"Phoenix Suns",4e+06,"True",1,8.83055555555556,-7.12444444444444
"278","Alonzo Gee","DEN",13,6.8,-2.11,0.43,0.08," SF",-1.68,"Denver Nuggets",57672,"False",0,-45.1694444444444,-14.7244444444444
"279","Ryan Kelly","ATL",16,6.9,-1.94,1.45,0.08," PF",-0.49,"Atlanta Hawks",1577230,"False",0,-42.1694444444444,-14.6244444444444
"280","Anthony Brown","NO/ORL",11,14.5,-1.42,-0.34,0.08," SF",-1.76,"Orlando Magic",57672,"False",0,-47.1694444444444,-7.02444444444444
"281","Johnny O'Bryant III","DEN/CHA",11,7.3,-1.92,0.3,0.08," PF",-1.62,"Charlotte Hornets",1524305,"False",0,-47.1694444444444,-14.2244444444444
"282","Georgios Papagiannis","SAC",22,16.1,-2.47,-0.3,0.08," C",-2.77,"Sacramento Kings",2202240,"False",0,-36.1694444444444,-5.42444444444444
"283","Maurice Ndour","NY",32,10.3,-1.94,-0.37,0.07," SF",-2.31,"New York Knicks",543471,"False",0,-26.1694444444444,-11.2244444444444
"284","Dejounte Murray","SA",38,8.5,-1.97,-0.83,0.07," G",-2.8,"San Antonio Spurs",1312611,"False",0,-20.1694444444444,-13.0244444444444
"285","Spencer Hawes","MIL/CHA",54,14.8,-2.13,-0.87,0.06," PF",-3,"Charlotte Hornets",6348759,"True",1,-4.16944444444444,-6.72444444444444
"286","Josh McRoberts","MIA",22,17.3,-2.87,-0.01,0.06," PF",-2.88,"Miami Heat",5782450,"False",0,-36.1694444444444,-4.22444444444444
"287","Jordan Hill","MIN",7,6.7,-2.31,1.16,0.06," C",-1.15,"Minnesota Timberwolves",4e+06,"False",0,-51.1694444444444,-14.8244444444444
"288","Mike Scott","ATL",18,10.8,-2.92,0.26,0.06," PF",-2.66,"Atlanta Hawks",3333334,"False",0,-40.1694444444444,-10.7244444444444
"289","Jarell Eddie","PHX",5,12.4,-2.31,0.62,0.06," SG",-1.69,"Phoenix Suns",57672,"False",0,-53.1694444444444,-9.12444444444444
"290","Kris Dunn","MIN",78,17.1,-2.64,-0.41,0.06," PG",-3.05,"Minnesota Timberwolves",3872520,"True",1,19.8305555555556,-4.42444444444444
"291","Wayne Selden","NO/MEM",14,16.9,-2.44,-0.28,0.06," G",-2.72,"Memphis Grizzlies",1312611,"False",0,-44.1694444444444,-4.62444444444445
"292","Ed Davis","POR",46,17.2,-2.96,-0.06,0.05," PF",-3.02,"Portland Trail Blazers",6666667,"True",1,-12.1694444444444,-4.32444444444445
"293","Ramon Sessions","CHA",50,16.2,-1.65,-1.4,0.04," PG",-3.05,"Charlotte Hornets",6e+06,"True",1,-8.16944444444444,-5.32444444444445
"294","Bruno Caboclo","TOR",9,4.4,-1.76,0.11,0.04," SF",-1.65,"Toronto Raptors",1589640,"False",0,-49.1694444444444,-17.1244444444444
"295","Boris Diaw","UTAH",73,17.6,-2.58,-0.5,0.03," C",-3.08,"Utah Jazz",7e+06,"True",1,14.8305555555556,-3.92444444444444
"296","Jarrett Jack","NO",2,16.5,-1.85,0.01,0.03," PG",-1.84,"New Orleans Pelicans",57672,"False",0,-56.1694444444444,-5.02444444444444
"297","Greivis Vasquez","BKN",3,13,-1.77,-0.38,0.03," PG",-2.15,"Brooklyn Nets",4347826,"False",0,-55.1694444444444,-8.52444444444444
"298","Timofey Mozgov","LAL",54,20.4,-4.02,0.93,0.03," C",-3.09,"Los Angeles Lakers",1.6e+07,"True",1,-4.16944444444444,-1.12444444444445
"299","Lamar Patterson","ATL",5,8,-2.23,0.62,0.03," SG",-1.61,"Atlanta Hawks",246956,"False",0,-53.1694444444444,-13.5244444444444
"300","Mike Tobey","CHA",2,12.5,-1.91,0.99,0.03," C",-0.92,"Charlotte Hornets",67135,"False",0,-56.1694444444444,-9.02444444444444
"301","Jordan Mickey","BOS",25,5.6,-2.62,-0.15,0.03," PF",-2.77,"Boston Celtics",1471382,"False",0,-33.1694444444444,-15.9244444444444
"302","Jerryd Bayless","PHI",3,23.7,-2.23,-0.47,0.02," PG",-2.7,"Philadelphia 76ers",9424084,"False",0,-55.1694444444444,2.17555555555555
